,Time,seconds,day,year,month
0,2022-03-21 02:15:00,0.0,80,2022,3
1,2022-03-21 02:15:00,4.81,80,2022,3
2,2022-03-21 02:19:00,196.013,80,2022,3
3,2022-03-21 02:23:00,257.253,80,2022,3
4,2022-03-21 02:24:00,45.465,80,2022,3
5,2022-03-21 02:24:00,10.837,80,2022,3
6,2022-03-21 02:28:00,202.666,80,2022,3
7,2022-03-21 02:32:00,121.651,80,2022,3
9,2022-03-21 02:33:00,11.915,80,2022,3
8,2022-03-21 02:33:00,2.495,80,2022,3
10,2022-03-21 02:37:00,245.861,80,2022,3
11,2022-03-21 02:39:00,122.871,80,2022,3
12,2022-03-21 02:40:00,64.073,80,2022,3
13,2022-03-21 02:41:00,44.843,80,2022,3
14,2022-03-21 02:44:00,180.655,80,2022,3
15,2022-03-21 02:47:00,176.253,80,2022,3
17,2022-03-21 02:51:00,12.422,80,2022,3
18,2022-03-21 02:51:00,240.053,80,2022,3
16,2022-03-21 02:51:00,3.922,80,2022,3
19,2022-03-21 02:54:00,153.628,80,2022,3
20,2022-03-21 02:54:00,43.312,80,2022,3
21,2022-03-21 02:55:00,3.983,80,2022,3
22,2022-03-21 02:58:00,222.586,80,2022,3
23,2022-03-21 03:02:00,218.856,80,2022,3
24,2022-03-21 03:02:00,4.511,80,2022,3
25,2022-03-21 03:02:00,5.76,80,2022,3
26,2022-03-21 03:05:00,186.12,80,2022,3
27,2022-03-21 03:17:00,86.548,80,2022,3
28,2022-03-21 06:08:00,201.159,80,2022,3
29,2022-03-21 06:09:00,40.385,80,2022,3
30,2022-03-21 06:12:00,192.292,80,2022,3
31,2022-03-21 06:16:00,241.693,80,2022,3
32,2022-03-21 06:20:00,212.373,80,2022,3
33,2022-03-21 06:23:00,216.573,80,2022,3
34,2022-03-21 06:27:00,196.373,80,2022,3
35,2022-03-21 06:30:00,170.858,80,2022,3
36,2022-03-21 06:33:00,193.546,80,2022,3
37,2022-03-21 06:37:00,237.72,80,2022,3
38,2022-03-21 06:39:00,160.097,80,2022,3
39,2022-03-21 06:43:00,224.693,80,2022,3
40,2022-03-21 06:47:00,227.267,80,2022,3
41,2022-03-21 06:51:00,250.188,80,2022,3
42,2022-03-21 06:55:00,255.983,80,2022,3
43,2022-03-21 07:01:00,305.746,80,2022,3
44,2022-03-21 07:04:00,229.4,80,2022,3
45,2022-03-21 07:08:00,219.801,80,2022,3
46,2022-03-21 07:13:00,300.695,80,2022,3
47,2022-03-21 07:17:00,214.147,80,2022,3
48,2022-03-21 07:21:00,260.961,80,2022,3
49,2022-03-21 07:25:00,225.0,80,2022,3
50,2022-03-21 07:29:00,252.733,80,2022,3
51,2022-03-21 07:33:00,247.346,80,2022,3
52,2022-03-21 07:37:00,208.84,80,2022,3
53,2022-03-21 07:40:00,228.442,80,2022,3
54,2022-03-21 07:44:00,240.013,80,2022,3
55,2022-03-21 07:47:00,173.381,80,2022,3
56,2022-03-21 07:51:00,194.52,80,2022,3
57,2022-03-21 07:54:00,212.783,80,2022,3
58,2022-03-21 07:57:00,175.2,80,2022,3
59,2022-03-21 08:01:00,209.693,80,2022,3
60,2022-03-21 08:04:00,185.946,80,2022,3
61,2022-03-21 08:08:00,229.411,80,2022,3
62,2022-03-21 08:11:00,206.108,80,2022,3
63,2022-03-21 08:15:00,246.973,80,2022,3
64,2022-03-21 08:18:00,193.48,80,2022,3
65,2022-03-21 08:23:00,266.6,80,2022,3
66,2022-03-21 08:27:00,250.6,80,2022,3
67,2022-03-21 08:31:00,227.812,80,2022,3
68,2022-03-21 08:34:00,199.322,80,2022,3
69,2022-03-21 08:37:00,189.475,80,2022,3
70,2022-03-21 08:41:00,195.92,80,2022,3
71,2022-03-21 08:44:00,208.106,80,2022,3
72,2022-03-21 08:48:00,241.5,80,2022,3
73,2022-03-21 08:52:00,232.593,80,2022,3
74,2022-03-21 08:56:00,219.013,80,2022,3
75,2022-03-21 08:59:00,227.311,80,2022,3
76,2022-03-21 09:03:00,203.186,80,2022,3
77,2022-03-21 09:06:00,217.4,80,2022,3
78,2022-03-21 09:10:00,201.159,80,2022,3
79,2022-03-21 09:14:00,246.613,80,2022,3
80,2022-03-21 09:18:00,257.84,80,2022,3
81,2022-03-21 09:22:00,241.693,80,2022,3
82,2022-03-21 09:26:00,3.053,80,2022,3
83,2022-03-21 09:26:00,195.639,80,2022,3
84,2022-03-21 10:24:00,14.791,80,2022,3
85,2022-03-21 14:55:00,183.07,80,2022,3
86,2022-03-21 15:05:00,209.213,80,2022,3
87,2022-03-21 15:09:00,225.44,80,2022,3
88,2022-03-21 15:13:00,212.12,80,2022,3
89,2022-03-21 15:17:00,2.275,80,2022,3
90,2022-03-21 15:17:00,244.293,80,2022,3
91,2022-03-21 15:17:00,6.098,80,2022,3
92,2022-03-21 15:17:00,25.148,80,2022,3
93,2022-03-21 15:30:00,35.723,80,2022,3
94,2022-03-21 15:33:00,169.315,80,2022,3
95,2022-03-21 15:35:00,89.878,80,2022,3
96,2022-03-21 15:38:00,202.546,80,2022,3
97,2022-03-21 15:42:00,203.2,80,2022,3
98,2022-03-21 15:46:00,225.013,80,2022,3
99,2022-03-21 15:50:00,242.253,80,2022,3
100,2022-03-21 15:54:00,245.866,80,2022,3
101,2022-03-21 15:57:00,185.194,80,2022,3
102,2022-03-21 16:01:00,235.613,80,2022,3
103,2022-03-21 16:04:00,27.268,80,2022,3
104,2022-03-21 16:04:00,176.587,80,2022,3
105,2022-03-21 16:08:00,222.036,80,2022,3
106,2022-03-21 16:13:00,283.733,80,2022,3
107,2022-03-21 16:16:00,216.933,80,2022,3
108,2022-03-21 16:21:00,299.746,80,2022,3
109,2022-03-21 16:21:00,6.867,80,2022,3
110,2022-03-21 16:25:00,222.036,80,2022,3
111,2022-03-21 16:28:00,208.124,80,2022,3
112,2022-03-21 16:30:00,104.999,80,2022,3
113,2022-03-21 16:34:00,208.658,80,2022,3
114,2022-03-21 16:35:00,101.275,80,2022,3
116,2022-03-21 16:40:00,248.133,80,2022,3
115,2022-03-21 16:40:00,6.547,80,2022,3
117,2022-03-21 16:44:00,283.733,80,2022,3
118,2022-03-21 16:48:00,234.973,80,2022,3
119,2022-03-21 16:51:00,180.48,80,2022,3
120,2022-03-21 16:54:00,168.441,80,2022,3
121,2022-03-21 16:58:00,240.213,80,2022,3
122,2022-03-21 17:02:00,219.583,80,2022,3
124,2022-03-21 17:06:00,200.149,80,2022,3
125,2022-03-21 17:06:00,8.005,80,2022,3
123,2022-03-21 17:06:00,2.143,80,2022,3
126,2022-03-21 17:10:00,208.124,80,2022,3
127,2022-03-21 17:14:00,240.213,80,2022,3
128,2022-03-21 17:17:00,219.583,80,2022,3
129,2022-03-21 17:21:00,241.202,80,2022,3
130,2022-03-21 17:24:00,183.326,80,2022,3
133,2022-03-21 17:28:00,227.512,80,2022,3
131,2022-03-21 17:28:00,2.307,80,2022,3
132,2022-03-21 17:28:00,1.293,80,2022,3
134,2022-03-21 17:29:00,60.073,80,2022,3
135,2022-03-21 17:34:00,279.013,80,2022,3
136,2022-03-21 17:38:00,248.709,80,2022,3
137,2022-03-21 17:38:00,2.442,80,2022,3
138,2022-03-21 17:39:00,37.691,80,2022,3
139,2022-03-21 17:42:00,187.982,80,2022,3
140,2022-03-21 17:44:00,147.2,80,2022,3
141,2022-03-21 17:51:00,394.522,80,2022,3
142,2022-03-21 17:54:00,186.076,80,2022,3
143,2022-03-21 17:57:00,193.616,80,2022,3
144,2022-03-21 17:59:00,81.813,80,2022,3
145,2022-03-21 18:05:00,353.571,80,2022,3
146,2022-03-21 18:07:00,128.01,80,2022,3
147,2022-03-21 18:10:00,201.972,80,2022,3
148,2022-03-21 18:13:00,154.553,80,2022,3
149,2022-03-21 18:16:00,206.834,80,2022,3
150,2022-03-21 18:21:00,204.925,80,2022,3
151,2022-03-21 18:24:00,122.611,80,2022,3
152,2022-03-21 18:27:00,210.013,80,2022,3
153,2022-03-21 18:30:00,177.986,80,2022,3
154,2022-03-21 18:34:00,238.918,80,2022,3
155,2022-03-21 18:38:00,231.893,80,2022,3
156,2022-03-21 18:42:00,225.998,80,2022,3
157,2022-03-21 18:42:00,1.693,80,2022,3
158,2022-03-21 18:42:00,3.052,80,2022,3
159,2022-03-21 18:46:00,228.453,80,2022,3
160,2022-03-21 18:49:00,202.546,80,2022,3
161,2022-03-21 18:53:00,3.115,80,2022,3
162,2022-03-21 18:53:00,11.398,80,2022,3
163,2022-03-21 18:53:00,241.546,80,2022,3
168,2022-03-21 18:57:00,231.893,80,2022,3
167,2022-03-21 18:57:00,4.201,80,2022,3
164,2022-03-21 18:57:00,1.46,80,2022,3
165,2022-03-21 18:57:00,2.515,80,2022,3
166,2022-03-21 18:57:00,9.158,80,2022,3
