,endTime,date_time,time_difference,days,month
0,6/6/2022 10:39,2022-06-06 10:39:00,,6.0,6.0
1,6/6/2022 10:43,2022-06-06 10:43:00,0 days 00:04:00,6.0,6.0
2,6/6/2022 10:46,2022-06-06 10:46:00,0 days 00:03:00,6.0,6.0
3,6/6/2022 10:49,2022-06-06 10:49:00,0 days 00:03:00,6.0,6.0
4,6/6/2022 10:52,2022-06-06 10:52:00,0 days 00:03:00,6.0,6.0
5,6/6/2022 10:57,2022-06-06 10:57:00,0 days 00:05:00,6.0,6.0
6,6/6/2022 10:58,2022-06-06 10:58:00,0 days 00:01:00,6.0,6.0
7,6/6/2022 10:59,2022-06-06 10:59:00,0 days 00:01:00,6.0,6.0
8,6/6/2022 10:59,2022-06-06 10:59:00,0 days 00:00:00,6.0,6.0
9,6/6/2022 11:03,2022-06-06 11:03:00,0 days 00:04:00,6.0,6.0
10,6/6/2022 11:07,2022-06-06 11:07:00,0 days 00:04:00,6.0,6.0
11,6/6/2022 11:11,2022-06-06 11:11:00,0 days 00:04:00,6.0,6.0
12,6/6/2022 11:13,2022-06-06 11:13:00,0 days 00:02:00,6.0,6.0
13,6/6/2022 11:14,2022-06-06 11:14:00,0 days 00:01:00,6.0,6.0
14,6/6/2022 11:16,2022-06-06 11:16:00,0 days 00:02:00,6.0,6.0
15,6/6/2022 11:17,2022-06-06 11:17:00,0 days 00:01:00,6.0,6.0
16,6/6/2022 11:21,2022-06-06 11:21:00,0 days 00:04:00,6.0,6.0
17,6/6/2022 11:22,2022-06-06 11:22:00,0 days 00:01:00,6.0,6.0
18,6/6/2022 11:25,2022-06-06 11:25:00,0 days 00:03:00,6.0,6.0
19,6/6/2022 11:28,2022-06-06 11:28:00,0 days 00:03:00,6.0,6.0
20,6/6/2022 11:32,2022-06-06 11:32:00,0 days 00:04:00,6.0,6.0
21,6/6/2022 11:36,2022-06-06 11:36:00,0 days 00:04:00,6.0,6.0
22,6/6/2022 11:40,2022-06-06 11:40:00,0 days 00:04:00,6.0,6.0
23,6/6/2022 11:44,2022-06-06 11:44:00,0 days 00:04:00,6.0,6.0
24,6/6/2022 10:40,2022-06-06 10:40:00,-1 days +22:56:00,6.0,6.0
25,6/6/2022 10:44,2022-06-06 10:44:00,0 days 00:04:00,6.0,6.0
26,6/6/2022 10:47,2022-06-06 10:47:00,0 days 00:03:00,6.0,6.0
27,6/6/2022 10:50,2022-06-06 10:50:00,0 days 00:03:00,6.0,6.0
28,6/6/2022 10:53,2022-06-06 10:53:00,0 days 00:03:00,6.0,6.0
29,6/6/2022 10:58,2022-06-06 10:58:00,0 days 00:05:00,6.0,6.0
30,6/6/2022 10:59,2022-06-06 10:59:00,0 days 00:01:00,6.0,6.0
31,44718.45833,,,,
32,44718.45833,,,,
33,6/6/2022 12:13,2022-06-06 12:13:00,,6.0,6.0
34,6/6/2022 12:17,2022-06-06 12:17:00,0 days 00:04:00,6.0,6.0
35,6/6/2022 12:19,2022-06-06 12:19:00,0 days 00:02:00,6.0,6.0
36,6/6/2022 12:21,2022-06-06 12:21:00,0 days 00:02:00,6.0,6.0
37,6/6/2022 12:23,2022-06-06 12:23:00,0 days 00:02:00,6.0,6.0
38,6/6/2022 12:26,2022-06-06 12:26:00,0 days 00:03:00,6.0,6.0
39,6/6/2022 12:29,2022-06-06 12:29:00,0 days 00:03:00,6.0,6.0
40,6/6/2022 12:32,2022-06-06 12:32:00,0 days 00:03:00,6.0,6.0
41,6/6/2022 12:34,2022-06-06 12:34:00,0 days 00:02:00,6.0,6.0
42,6/6/2022 12:36,2022-06-06 12:36:00,0 days 00:02:00,6.0,6.0
43,6/6/2022 12:39,2022-06-06 12:39:00,0 days 00:03:00,6.0,6.0
44,6/6/2022 12:41,2022-06-06 12:41:00,0 days 00:02:00,6.0,6.0
45,6/6/2022 12:43,2022-06-06 12:43:00,0 days 00:02:00,6.0,6.0
46,6/6/2022 12:46,2022-06-06 12:46:00,0 days 00:03:00,6.0,6.0
47,6/6/2022 12:48,2022-06-06 12:48:00,0 days 00:02:00,6.0,6.0
48,6/6/2022 12:51,2022-06-06 12:51:00,0 days 00:03:00,6.0,6.0
49,6/6/2022 12:54,2022-06-06 12:54:00,0 days 00:03:00,6.0,6.0
50,6/6/2022 12:56,2022-06-06 12:56:00,0 days 00:02:00,6.0,6.0
51,6/6/2022 12:58,2022-06-06 12:58:00,0 days 00:02:00,6.0,6.0
52,6/6/2022 13:02,2022-06-06 13:02:00,0 days 00:04:00,6.0,6.0
53,6/6/2022 13:04,2022-06-06 13:04:00,0 days 00:02:00,6.0,6.0
54,6/6/2022 13:06,2022-06-06 13:06:00,0 days 00:02:00,6.0,6.0
55,6/6/2022 13:08,2022-06-06 13:08:00,0 days 00:02:00,6.0,6.0
56,6/6/2022 13:08,2022-06-06 13:08:00,0 days 00:00:00,6.0,6.0
57,6/6/2022 13:10,2022-06-06 13:10:00,0 days 00:02:00,6.0,6.0
58,6/6/2022 13:12,2022-06-06 13:12:00,0 days 00:02:00,6.0,6.0
59,6/6/2022 13:14,2022-06-06 13:14:00,0 days 00:02:00,6.0,6.0
60,6/6/2022 13:16,2022-06-06 13:16:00,0 days 00:02:00,6.0,6.0
61,6/6/2022 13:18,2022-06-06 13:18:00,0 days 00:02:00,6.0,6.0
62,6/6/2022 13:19,2022-06-06 13:19:00,0 days 00:01:00,6.0,6.0
63,6/6/2022 14:09,2022-06-06 14:09:00,0 days 00:50:00,6.0,6.0
64,6/6/2022 18:06,2022-06-06 18:06:00,0 days 03:57:00,6.0,6.0
65,6/6/2022 18:06,2022-06-06 18:06:00,0 days 00:00:00,6.0,6.0
66,6/6/2022 18:09,2022-06-06 18:09:00,0 days 00:03:00,6.0,6.0
67,6/6/2022 18:11,2022-06-06 18:11:00,0 days 00:02:00,6.0,6.0
68,6/6/2022 18:14,2022-06-06 18:14:00,0 days 00:03:00,6.0,6.0
69,6/6/2022 18:17,2022-06-06 18:17:00,0 days 00:03:00,6.0,6.0
70,6/6/2022 18:19,2022-06-06 18:19:00,0 days 00:02:00,6.0,6.0
71,6/7/2022 8:00,2022-06-07 08:00:00,0 days 13:41:00,7.0,6.0
72,6/7/2022 8:02,2022-06-07 08:02:00,0 days 00:02:00,7.0,6.0
73,6/7/2022 8:02,2022-06-07 08:02:00,0 days 00:00:00,7.0,6.0
74,6/7/2022 8:02,2022-06-07 08:02:00,0 days 00:00:00,7.0,6.0
75,6/7/2022 8:03,2022-06-07 08:03:00,0 days 00:01:00,7.0,6.0
76,6/7/2022 8:06,2022-06-07 08:06:00,0 days 00:03:00,7.0,6.0
77,6/7/2022 8:09,2022-06-07 08:09:00,0 days 00:03:00,7.0,6.0
78,6/7/2022 8:09,2022-06-07 08:09:00,0 days 00:00:00,7.0,6.0
79,6/7/2022 8:09,2022-06-07 08:09:00,0 days 00:00:00,7.0,6.0
80,6/7/2022 8:09,2022-06-07 08:09:00,0 days 00:00:00,7.0,6.0
81,6/7/2022 8:10,2022-06-07 08:10:00,0 days 00:01:00,7.0,6.0
82,6/7/2022 8:12,2022-06-07 08:12:00,0 days 00:02:00,7.0,6.0
83,6/7/2022 8:13,2022-06-07 08:13:00,0 days 00:01:00,7.0,6.0
84,6/7/2022 8:20,2022-06-07 08:20:00,0 days 00:07:00,7.0,6.0
85,6/7/2022 8:28,2022-06-07 08:28:00,0 days 00:08:00,7.0,6.0
86,6/7/2022 8:30,2022-06-07 08:30:00,0 days 00:02:00,7.0,6.0
87,6/7/2022 8:32,2022-06-07 08:32:00,0 days 00:02:00,7.0,6.0
88,6/7/2022 8:32,2022-06-07 08:32:00,0 days 00:00:00,7.0,6.0
89,6/7/2022 8:32,2022-06-07 08:32:00,0 days 00:00:00,7.0,6.0
90,6/7/2022 8:38,2022-06-07 08:38:00,0 days 00:06:00,7.0,6.0
91,6/7/2022 8:43,2022-06-07 08:43:00,0 days 00:05:00,7.0,6.0
92,6/7/2022 8:49,2022-06-07 08:49:00,0 days 00:06:00,7.0,6.0
93,6/7/2022 8:55,2022-06-07 08:55:00,0 days 00:06:00,7.0,6.0
94,6/7/2022 9:01,2022-06-07 09:01:00,0 days 00:06:00,7.0,6.0
95,6/7/2022 9:08,2022-06-07 09:08:00,0 days 00:07:00,7.0,6.0
96,6/7/2022 9:11,2022-06-07 09:11:00,0 days 00:03:00,7.0,6.0
97,6/7/2022 9:25,2022-06-07 09:25:00,0 days 00:14:00,7.0,6.0
98,6/7/2022 10:24,2022-06-07 10:24:00,0 days 00:59:00,7.0,6.0
99,6/7/2022 10:26,2022-06-07 10:26:00,0 days 00:02:00,7.0,6.0
100,6/7/2022 10:28,2022-06-07 10:28:00,0 days 00:02:00,7.0,6.0
101,6/7/2022 10:31,2022-06-07 10:31:00,0 days 00:03:00,7.0,6.0
102,6/7/2022 12:53,2022-06-07 12:53:00,0 days 02:22:00,7.0,6.0
103,6/8/2022 10:51,2022-06-08 10:51:00,0 days 21:58:00,8.0,6.0
104,6/8/2022 10:59,2022-06-08 10:59:00,0 days 00:08:00,8.0,6.0
105,6/8/2022 10:59,2022-06-08 10:59:00,0 days 00:00:00,8.0,6.0
106,6/8/2022 11:02,2022-06-08 11:02:00,0 days 00:03:00,8.0,6.0
107,6/8/2022 11:04,2022-06-08 11:04:00,0 days 00:02:00,8.0,6.0
108,6/8/2022 11:08,2022-06-08 11:08:00,0 days 00:04:00,8.0,6.0
109,6/8/2022 11:08,2022-06-08 11:08:00,0 days 00:00:00,8.0,6.0
110,6/8/2022 11:12,2022-06-08 11:12:00,0 days 00:04:00,8.0,6.0
111,6/8/2022 11:13,2022-06-08 11:13:00,0 days 00:01:00,8.0,6.0
112,6/8/2022 11:14,2022-06-08 11:14:00,0 days 00:01:00,8.0,6.0
113,6/8/2022 11:17,2022-06-08 11:17:00,0 days 00:03:00,8.0,6.0
114,6/8/2022 11:21,2022-06-08 11:21:00,0 days 00:04:00,8.0,6.0
115,6/8/2022 11:24,2022-06-08 11:24:00,0 days 00:03:00,8.0,6.0
116,6/8/2022 11:26,2022-06-08 11:26:00,0 days 00:02:00,8.0,6.0
117,6/8/2022 11:30,2022-06-08 11:30:00,0 days 00:04:00,8.0,6.0
118,6/8/2022 11:30,2022-06-08 11:30:00,0 days 00:00:00,8.0,6.0
119,6/8/2022 11:31,2022-06-08 11:31:00,0 days 00:01:00,8.0,6.0
120,6/8/2022 11:35,2022-06-08 11:35:00,0 days 00:04:00,8.0,6.0
121,6/8/2022 11:39,2022-06-08 11:39:00,0 days 00:04:00,8.0,6.0
122,6/8/2022 11:39,2022-06-08 11:39:00,0 days 00:00:00,8.0,6.0
123,6/8/2022 11:44,2022-06-08 11:44:00,0 days 00:05:00,8.0,6.0
124,6/8/2022 11:48,2022-06-08 11:48:00,0 days 00:04:00,8.0,6.0
125,6/8/2022 11:59,2022-06-08 11:59:00,0 days 00:11:00,8.0,6.0
126,6/8/2022 13:09,2022-06-08 13:09:00,0 days 01:10:00,8.0,6.0
127,6/8/2022 13:11,2022-06-08 13:11:00,0 days 00:02:00,8.0,6.0
128,6/8/2022 13:13,2022-06-08 13:13:00,0 days 00:02:00,8.0,6.0
129,6/8/2022 13:17,2022-06-08 13:17:00,0 days 00:04:00,8.0,6.0
130,6/8/2022 13:18,2022-06-08 13:18:00,0 days 00:01:00,8.0,6.0
131,6/8/2022 13:19,2022-06-08 13:19:00,0 days 00:01:00,8.0,6.0
132,6/8/2022 13:22,2022-06-08 13:22:00,0 days 00:03:00,8.0,6.0
133,6/8/2022 13:23,2022-06-08 13:23:00,0 days 00:01:00,8.0,6.0
134,6/8/2022 13:28,2022-06-08 13:28:00,0 days 00:05:00,8.0,6.0
135,6/8/2022 13:28,2022-06-08 13:28:00,0 days 00:00:00,8.0,6.0
136,6/8/2022 13:31,2022-06-08 13:31:00,0 days 00:03:00,8.0,6.0
137,6/8/2022 13:34,2022-06-08 13:34:00,0 days 00:03:00,8.0,6.0
138,6/8/2022 13:45,2022-06-08 13:45:00,0 days 00:11:00,8.0,6.0
139,6/8/2022 13:49,2022-06-08 13:49:00,0 days 00:04:00,8.0,6.0
140,6/8/2022 13:53,2022-06-08 13:53:00,0 days 00:04:00,8.0,6.0
141,6/8/2022 13:57,2022-06-08 13:57:00,0 days 00:04:00,8.0,6.0
142,6/8/2022 13:57,2022-06-08 13:57:00,0 days 00:00:00,8.0,6.0
143,6/8/2022 13:59,2022-06-08 13:59:00,0 days 00:02:00,8.0,6.0
144,6/8/2022 14:00,2022-06-08 14:00:00,0 days 00:01:00,8.0,6.0
145,6/8/2022 14:01,2022-06-08 14:01:00,0 days 00:01:00,8.0,6.0
146,6/8/2022 14:02,2022-06-08 14:02:00,0 days 00:01:00,8.0,6.0
147,6/8/2022 14:03,2022-06-08 14:03:00,0 days 00:01:00,8.0,6.0
148,6/8/2022 14:04,2022-06-08 14:04:00,0 days 00:01:00,8.0,6.0
149,6/8/2022 14:05,2022-06-08 14:05:00,0 days 00:01:00,8.0,6.0
150,6/8/2022 14:05,2022-06-08 14:05:00,0 days 00:00:00,8.0,6.0
151,6/8/2022 14:31,2022-06-08 14:31:00,0 days 00:26:00,8.0,6.0
152,6/8/2022 14:43,2022-06-08 14:43:00,0 days 00:12:00,8.0,6.0
153,6/8/2022 18:38,2022-06-08 18:38:00,0 days 03:55:00,8.0,6.0
154,6/8/2022 18:44,2022-06-08 18:44:00,0 days 00:06:00,8.0,6.0
155,6/8/2022 18:48,2022-06-08 18:48:00,0 days 00:04:00,8.0,6.0
156,6/8/2022 18:53,2022-06-08 18:53:00,0 days 00:05:00,8.0,6.0
157,6/8/2022 18:57,2022-06-08 18:57:00,0 days 00:04:00,8.0,6.0
158,6/8/2022 18:59,2022-06-08 18:59:00,0 days 00:02:00,8.0,6.0
159,6/8/2022 18:59,2022-06-08 18:59:00,0 days 00:00:00,8.0,6.0
160,6/8/2022 19:03,2022-06-08 19:03:00,0 days 00:04:00,8.0,6.0
161,6/8/2022 19:08,2022-06-08 19:08:00,0 days 00:05:00,8.0,6.0
162,6/8/2022 19:14,2022-06-08 19:14:00,0 days 00:06:00,8.0,6.0
163,6/8/2022 19:18,2022-06-08 19:18:00,0 days 00:04:00,8.0,6.0
164,6/8/2022 19:21,2022-06-08 19:21:00,0 days 00:03:00,8.0,6.0
